"variant","model","horizon","runs","mse_mean","mse_std","mae_mean","mae_std","mse_all_imputed_mean","mse_all_imputed_std","mae_all_imputed_mean","mae_all_imputed_std","runtime_seconds_mean","runtime_seconds_std","peak_cuda_memory_mb_mean","peak_cuda_memory_mb_std","parameters","best_epoch_mean"
"full","full","90","5","177073.71875","5822.438418508958","322.881884765625","7.56487958627737","172281.765625","5378.050134983359","317.4378662109375","7.042439032560143","2.9900052800017876","0.6651582715292759","84.77734375","0.0","671905","1.4"
"no_spectral","no_spectral","90","5","217099.0","68844.28773038564","352.043505859375","50.4373961317164","211943.409375","68329.8921360226","347.4286315917969","51.51322677850118","4.892818420002004","5.252511409278789","84.474609375","0.0","671905","5.6"
"no_multiscale","no_multiscale","90","5","185082.115625","14216.329773841018","332.58201293945314","16.857470762099382","179666.2375","13704.254519758073","326.0463500976563","16.07711109588201","2.156067559996154","0.035413976607568565","77.54150390625","0.0","671905","1.0"
"full","full","365","5","126519.9453125","2570.651606518936","261.9305480957031","3.4761683344005827","125308.1828125","2541.0460553555954","261.8282775878906","3.462795700360588","1.9801297199970578","0.04320783106344484","152.96435546875","0.0","698305","3.0"
"no_spectral","no_spectral","365","5","129653.009375","8995.224263672011","268.8287658691406","12.43827546241198","129188.9296875","7596.998803214335","270.0666931152344","10.683325076421017","1.8693717800080776","0.3896446735409896","152.66162109375","0.0","698305","2.6"
"no_multiscale","no_multiscale","365","5","144635.5375","9822.684248614205","283.77333374023436","12.832545312628628","143267.1390625","10017.733460170934","283.91737060546876","13.3681954089696","1.6050043599971104","0.2702958180956045","145.6951171875","0.3052756867719439","698305","2.6"
