model,horizon,runs,mse_mean,mse_std,mae_mean,mae_std,mse_all_imputed_mean,mse_all_imputed_std,mae_all_imputed_mean,mae_all_imputed_std,runtime_seconds_mean,runtime_seconds_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std,parameters,best_epoch_mean
lstm,90,5,158948.76875,5592.848825817854,315.6110534667969,5.4096118664735435,154898.209375,5689.32426169934,310.9981262207031,5.838027037104904,1.0165041999949609,0.43099190471194215,43.23876953125,0.0,135354,2.0
transformer,90,5,192321.53125,30421.141964524955,336.9129577636719,36.019121259482745,188048.575,30774.125732023018,332.1197265625,36.99420162109373,1.7829134600062388,0.21243884242563382,72.32470703125,0.0,285505,1.2
stl_former,90,5,177144.390625,5723.407667774764,322.9016967773438,7.548543761271511,172352.084375,5291.995697995468,317.4511962890625,7.0325686492283666,2.648844900005497,0.42883290275799024,88.47705078125,0.0,671905,1.4
lstm,365,5,137216.76875,2117.3877142820993,287.1089721679688,2.541734925084974,134666.403125,2223.5399584779766,284.6393615722656,1.5042392180358277,0.8788699400029145,0.06948824824060014,43.96484375,0.0,162029,6.8
transformer,365,5,136397.2421875,16910.53324064715,278.8852233886719,22.665676422449025,135885.2984375,16104.912979767654,279.7408020019531,21.050724056468457,2.6040222600044216,1.2458814673750238,122.54013671875,0.19128862776267733,311905,8.4
stl_former,365,5,126518.9359375,2573.2310631899013,261.92431640625,3.4822940528167687,125308.596875,2543.2299918771114,261.8250732421875,3.4687087399830787,1.8457261199946515,0.061694126630585405,157.40673828125,0.0,698305,3.0
